State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Oklahoma,"$6,026","$6,262","$7,079","$7,754","$8,436","$8,136","$8,491","$8,690","$8,980","$9,099","$9,632","$10,120","$10,776","$11,152","$11,285","$11,250","$11,212","$10,971","$10,390","$10,177","$10,312","$10,246"
Oregon,"$8,899","$8,952","$8,906","$9,234","$9,330","$10,365","$10,977","$11,443","$11,657","$11,887","$12,152","$12,731","$13,067","$13,556","$13,602","$14,118","$14,814","$14,558","$14,261","$14,329","$14,564","$14,835"
Pennsylvania,"$14,061","$14,250","$14,456","$15,206","$15,483","$16,155","$16,732","$17,299","$17,358","$17,695","$17,865","$18,194","$18,707","$19,060","$18,996","$18,895","$18,697","$18,195","$17,429","$16,984","$16,743","$16,954"
Rhode Island,"$10,113","$10,616","$10,840","$11,214","$11,556","$12,762","$13,761","$14,334","$15,316","$15,060","$14,905","$15,481","$15,325","$16,078","$16,112","$16,522","$17,096","$16,754","$16,169","$16,064","$16,032","$16,124"
South Carolina,"$11,269","$12,176","$12,638","$13,000","$13,657","$14,288","$14,859","$14,824","$15,068","$15,433","$15,574","$16,052","$16,376","$16,551","$16,626","$16,451","$16,302","$15,589","$14,446","$13,882","$13,538","$13,266"
South Dakota,"$7,411","$7,572","$7,936","$8,297","$8,521","$9,052","$9,329","$9,724","$10,361","$10,565","$10,473","$10,943","$10,948","$11,087","$11,135","$11,316","$11,357","$11,045","$10,039","$9,714","$9,397","$9,385"
Tennessee,"$7,340","$7,853","$7,943","$8,331","$8,503","$9,152","$9,631","$10,263","$10,765","$11,107","$12,140","$12,584","$12,795","$12,873","$12,794","$12,959","$13,001","$12,560","$11,692","$11,540","$11,665","$11,742"
Texas,"$8,651","$8,878","$9,559","$10,016","$10,347","$10,998","$11,435","$11,527","$11,702","$11,777","$12,019","$12,527","$12,794","$12,978","$13,032","$13,211","$13,470","$13,184","$12,252","$11,833","$11,550","$11,258"
Utah,"$5,581","$5,907","$6,095","$6,303","$6,393","$6,863","$7,259","$7,587","$7,870","$8,174","$8,379","$8,644","$8,801","$8,906","$8,960","$9,013","$8,984","$8,778","$8,494","$8,186","$8,218","$8,173"
Vermont,"$14,971","$15,247","$15,625","$16,282","$16,961","$18,034","$18,419","$18,745","$18,968","$19,301","$19,690","$20,368","$20,878","$21,057","$21,796","$21,645","$22,048","$21,088","$19,554","$18,214","$18,115","$18,094"
Virginia,"$9,510","$9,930","$10,471","$10,883","$11,337","$11,911","$13,008","$13,649","$13,885","$14,328","$15,211","$16,055","$16,572","$16,840","$17,299","$17,179","$17,253","$16,779","$16,085","$16,081","$16,068","$16,095"
Washington,"$8,376","$8,659","$9,056","$9,296","$9,621","$10,988","$12,104","$13,590","$14,859","$14,943","$14,533","$13,974","$12,437","$12,466","$12,623","$12,739","$13,266","$12,954","$12,308","$12,168","$12,182","$12,261"
West Virginia,"$6,189","$6,382","$6,654","$6,842","$7,039","$7,474","$7,717","$7,924","$8,253","$8,643","$9,095","$9,704","$10,051","$10,391","$10,636","$10,679","$10,644","$10,378","$9,851","$9,749","$9,836","$9,997"
Wisconsin,"$8,894","$9,275","$9,650","$9,959","$10,163","$10,760","$11,386","$11,734","$12,187","$12,082","$11,928","$11,967","$11,985","$11,717","$11,559","$11,439","$11,316","$10,887","$10,214","$10,242","$10,402","$10,602"
Wyoming,"$5,528","$5,653","$5,614","$5,519","$5,415","$5,592","$5,799","$5,905","$6,000","$6,087","$6,319","$6,644","$6,782","$6,857","$6,924","$7,029","$7,206","$7,245","$7,086","$7,078","$7,141","$7,435"
